reference_id,renderer_count,thresholds
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_02_group/IL3DN_Plant_Grass_02,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Edge_Nature/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Rocks/Nature_Rock_Big_group/IL3DN_Rock_Boulder_03,1,0.008408552
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_02_group/IL3DN_Plant_Grass_02,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Rocks/Nature_Rock_Small_group/IL3DN_Rock_Boulder_01,1,0.005165694
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Edge_Nature/IL3DN_Plant_Grass_04_group/IL3DN_Plant_Grass_04,3,0.5017237;0.1998479;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Rocks/Nature_Rock_Small_group/IL3DN_Rock_Boulder_02,1,0.006301761
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Edge_Nature/Nature_Rock_Big_group/IL3DN_Rock_Boulder_03,1,0.008408552
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead/IL3DN_Dead_Branch_01_group/IL3DN_Dead_Branch_02,1,0.1005739
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead/IL3DN_Dead_Branch_01_group/IL3DN_Dead_Branch_01,1,0.0991072
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Rocks/Nature_Rock_Small_group/IL3DN_Rock_Boulder_01,1,0.005165694
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Trees/IL3DN_Tree_Pine_01_group/IL3DN_Tree_Pine_01,3,0.9022443;0.5033596;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Rocks/Nature_Rock_Small_group/IL3DN_Rock_Boulder_02,1,0.006301761
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_02_group/IL3DN_Plant_Grass_02,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/WaterLily/IL3DN_Plant_WaterLily_01_group/IL3DN_Plant_WaterLily_01,2,0.25;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Edge_Nature/IL3DN_Plant_Grass_04_group/IL3DN_Plant_Grass_04,3,0.5017237;0.1998479;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_02_group/IL3DN_Plant_Grass_02,3,0.4969922;0.2028568;0.04585641
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Branch_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Rocks/Nature_Rock_Mid_group/IL3DN_Rock_Boulder_03,1,0.008408552
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Rocks/Nature_Rock_Mid_group/IL3DN_Rock_Boulder_02,1,0.006301761
Train_Stage_2:ENV/IL3DN_Enviro/Bushes/IL3DN_Shrub_Round_All_group/IL3DN_Shrub_Round_01,8,0.5038476;0.2538076;0.1048584;0.01
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_01,1,0.05128473
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Dead_Decals/IL3DN_Dead_BranchAndLeaves_Decals_group/IL3DN_Dead_Leaf_Decal_02,1,0.04853339
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
Train_Stage_2:ENV/IL3DN_Enviro/Grass/Nature_Plant_Grass_01_group/IL3DN_Plant_Grass_01,3,0.5017237;0.1968613;0.04989976
